#1
double data2(8760,2)   # comment line
   9475200           16
   9478800           16
   9482400           19
   9486000           19
   9489600           19
   9493200           19
   9496800           19
   9500400           19
   9504000           19
   9507600           19
   9511200           19
   9514800           19
   9518400           19
   9522000           19
   9525600           19
   9529200           19
   9532800           19
   9536400           19
   9540000           19
   9543600           19
   9547200           19
   9550800           19
   9554400           19
   9558000           19
   9561600           19
   9565200           19
   9568800           19
   9572400           19
   9576000           19
   9579600           19
   9583200           19
   9586800           19
   9590400           19
   9594000           19
   9597600           19
   9601200           19
   9604800           19
   9608400           19
   9612000           19
   9615600           19
   9619200           19
   9622800           19
   9626400           19
   9630000           19
   9633600           19
   9637200           19
   9640800           19
   9644400           19
   9648000           19
   9651600           19
   9655200           19
   9658800           19
   9662400           19
   9666000           19
   9669600           19
   9673200           19
   9676800           19
   9680400           19
   9684000           19
   9687600           19
   9691200           19
   9694800           19
   9698400           19
   9702000           19
   9705600           19
   9709200           19
   9712800           16
   9716400           16
   9720000           16
   9723600           16
   9727200           16
   9730800           16
   9734400           16
   9738000           16
   9741600           19
   9745200           19
   9748800           19
   9752400           19
   9756000           19
   9759600           19
   9763200           19
   9766800           19
   9770400           19
   9774000           19
   9777600           19
   9781200           19
   9784800           19
   9788400           19
   9792000           19
   9795600           19
   9799200           16
   9802800           16
   9806400           16
   9810000           16
   9813600           16
   9817200           16
   9820800           16
   9824400           16
   9828000           19
   9831600           19
   9835200           19
   9838800           19
   9842400           19
   9846000           19
   9849600           19
   9853200           19
   9856800           19
   9860400           19
   9864000           19
   9867600           19
   9871200           19
   9874800           19
   9878400           19
   9882000           19
   9885600           16
   9889200           16
   9892800           16
   9896400           16
   9900000           19
   9903600           19
   9907200           19
   9910800           19
   9914400           19
   9918000           19
   9921600           19
   9925200           19
   9928800           19
   9932400           19
   9936000           19
   9939600           19
   9943200           19
   9946800           19
   9950400           19
   9954000           19
   9957600           19
   9961200           19
   9964800           19
   9968400           19
   9972000           16
   9975600           16
   9979200           16
   9982800           16
   9986400           16
   9990000           16
   9993600           16
   9997200           16
  10000800           19
  10004400           19
  10008000           19
  10011600           19
  10015200           19
  10018800           19
  10022400           19
  10026000           19
  10029600           19
  10033200           19
  10036800           19
  10040400           19
  10044000           19
  10047600           19
  10051200           19
  10054800           19
  10058400           16
  10062000           16
  10065600           16
  10069200           16
  10072800           16
  10076400           16
  10080000           16
  10083600           16
  10087200           19
  10090800           19
  10094400           19
  10098000           19
  10101600           19
  10105200           19
  10108800           19
  10112400           19
  10116000           19
  10119600           19
  10123200           19
  10126800           19
  10130400           19
  10134000           19
  10137600           19
  10141200           19
  10144800           19
  10148400           19
  10152000           19
  10155600           19
  10159200           19
  10162800           19
  10166400           19
  10170000           19
  10173600           19
  10177200           19
  10180800           19
  10184400           19
  10188000           19
  10191600           19
  10195200           19
  10198800           19
  10202400           19
  10206000           19
  10209600           19
  10213200           19
  10216800           19
  10220400           19
  10224000           19
  10227600           19
  10231200           19
  10234800           19
  10238400           19
  10242000           19
  10245600           19
  10249200           19
  10252800           19
  10256400           19
  10260000           19
  10263600           19
  10267200           19
  10270800           19
  10274400           19
  10278000           19
  10281600           19
  10285200           19
  10288800           19
  10292400           19
  10296000           19
  10299600           19
  10303200           19
  10306800           19
  10310400           19
  10314000           19
  10317600           16
  10321200           16
  10324800           16
  10328400           16
  10332000           16
  10335600           16
  10339200           16
  10342800           16
  10346400           19
  10350000           19
  10353600           19
  10357200           19
  10360800           19
  10364400           19
  10368000           19
  10371600           19
  10375200           19
  10378800           19
  10382400           19
  10386000           19
  10389600           19
  10393200           19
  10396800           19
  10400400           19
  10404000           16
  10407600           16
  10411200           16
  10414800           16
  10418400           16
  10422000           16
  10425600           16
  10429200           16
  10432800           19
  10436400           19
  10440000           19
  10443600           19
  10447200           19
  10450800           19
  10454400           19
  10458000           19
  10461600           19
  10465200           19
  10468800           19
  10472400           19
  10476000           19
  10479600           19
  10483200           19
  10486800           19
  10490400           16
  10494000           16
  10497600           16
  10501200           16
  10504800           19
  10508400           19
  10512000           19
  10515600           19
  10519200           19
  10522800           19
  10526400           19
  10530000           19
  10533600           19
  10537200           19
  10540800           19
  10544400           19
  10548000           19
  10551600           19
  10555200           19
  10558800           19
  10562400           19
  10566000           19
  10569600           19
  10573200           19
  10576800           16
  10580400           16
  10584000           16
  10587600           16
  10591200           16
  10594800           16
  10598400           16
  10602000           16
  10605600           19
  10609200           19
  10612800           19
  10616400           19
  10620000           19
  10623600           19
  10627200           19
  10630800           19
  10634400           19
  10638000           19
  10641600           19
  10645200           19
  10648800           19
  10652400           19
  10656000           19
  10659600           19
  10663200           16
  10666800           16
