#1	
double data(8760,2) #comment	
25012800	289.15
25016400	289.15
25020000	292.15
25023600	292.15
25027200	292.15
25030800	292.15
25034400	292.15
25038000	292.15
25041600	292.15
25045200	292.15
25048800	292.15
25052400	292.15
25056000	292.15
25059600	292.15
25063200	292.15
25066800	292.15
25070400	292.15
25074000	292.15
25077600	292.15
25081200	292.15
25084800	292.15
25088400	292.15
25092000	289.15
25095600	289.15
25099200	289.15
25102800	289.15
25106400	289.15
25110000	289.15
25113600	289.15
25117200	289.15
25120800	292.15
25124400	292.15
25128000	292.15
25131600	292.15
25135200	292.15
25138800	292.15
25142400	292.15
25146000	292.15
25149600	292.15
25153200	292.15
25156800	292.15
25160400	292.15
25164000	292.15
25167600	292.15
25171200	292.15
25174800	292.15
25178400	289.15
25182000	289.15
25185600	289.15
25189200	289.15
25192800	289.15
25196400	289.15
25200000	289.15
25203600	289.15
25207200	292.15
25210800	292.15
25214400	292.15
25218000	292.15
25221600	292.15
25225200	292.15
25228800	292.15
25232400	292.15
25236000	292.15
25239600	292.15
25243200	292.15
25246800	292.15
25250400	292.15
25254000	292.15
25257600	292.15
25261200	292.15
25264800	292.15
25268400	292.15
25272000	292.15
25275600	292.15
25279200	292.15
25282800	292.15
25286400	292.15
25290000	292.15
25293600	292.15
25297200	292.15
25300800	292.15
25304400	292.15
25308000	292.15
25311600	292.15
25315200	292.15
25318800	292.15
25322400	292.15
25326000	292.15
25329600	292.15
25333200	292.15
25336800	292.15
25340400	292.15
25344000	292.15
25347600	292.15
25351200	292.15
25354800	292.15
25358400	292.15
25362000	292.15
25365600	292.15
25369200	292.15
25372800	292.15
25376400	292.15
25380000	292.15
25383600	292.15
25387200	292.15
25390800	292.15
25394400	292.15
25398000	292.15
25401600	292.15
25405200	292.15
25408800	292.15
25412400	292.15
25416000	292.15
25419600	292.15
25423200	292.15
25426800	292.15
25430400	292.15
25434000	292.15
25437600	289.15
25441200	289.15
25444800	289.15
25448400	289.15
25452000	289.15
25455600	289.15
25459200	289.15
25462800	289.15
25466400	292.15
25470000	292.15
25473600	292.15
25477200	292.15
25480800	292.15
25484400	292.15
25488000	292.15
25491600	292.15
25495200	292.15
25498800	292.15
25502400	292.15
25506000	292.15
25509600	292.15
25513200	292.15
25516800	292.15
25520400	292.15
25524000	289.15
25527600	289.15
25531200	289.15
25534800	289.15
25538400	289.15
25542000	289.15
25545600	289.15
25549200	289.15
25552800	292.15
25556400	292.15
25560000	292.15
25563600	292.15
25567200	292.15
25570800	292.15
25574400	292.15
25578000	292.15
25581600	292.15
25585200	292.15
