#1	
double data1(17521,2)	# Comment
2298600	1277
2300400	1278
2302200	1279
2304000	1280
2305800	1281
2307600	1282
2309400	1283
2311200	1284
2313000	1285
2314800	1286
2316600	1287
2318400	1288
2320200	1289
2322000	1290
2323800	1291
2325600	1292
2327400	1293
2329200	1294
2331000	1295
2332800	1296
2334600	1297
2336400	1298
2338200	1299
2340000	1300
2341800	1301
2343600	1302
2345400	1303
2347200	1304
2349000	1305
2350800	1306
2352600	1307
2354400	1308
2356200	1309
2358000	1310
2359800	1311
2361600	1312
2363400	1313
2365200	1314
2367000	1315
2368800	1316
2370600	1317
2372400	1318
2374200	1319
2376000	1320
2377800	1321
2379600	1322
2381400	1323
2383200	1324
2385000	1325
2386800	1326
2388600	1327
2390400	1328
2392200	1329
2394000	1330
2395800	1331
2397600	1332
2399400	1333
2401200	1334
2403000	1335
2404800	1336
2406600	1337
2408400	1338
2410200	1339
2412000	1340
2413800	1341
2415600	1342
2417400	1343
2419200	1344
2421000	1345
2422800	1346
2424600	1347
2426400	1348
2428200	1349
2430000	1350
2431800	1351
2433600	1352
2435400	1353
2437200	1354
2439000	1355
2440800	1356
2442600	1357
2444400	1358
2446200	1359
2448000	1360
2449800	1361
2451600	1362
2453400	1363
2455200	1364
2457000	1365
2458800	1366
2460600	1367
2462400	1368
2464200	1369
2466000	1370
2467800	1371
2469600	1372
2471400	1373
2473200	1374
2475000	1375
2476800	1376
2478600	1377
2480400	1378
2482200	1379
2484000	1380
2485800	1381
2487600	1382
2489400	1383
2491200	1384
2493000	1385
2494800	1386
2496600	1387
2498400	1388
2500200	1389
2502000	1390
2503800	1391
2505600	1392
2507400	1393
2509200	1394
2511000	1395
2512800	1396
2514600	1397
2516400	1398
2518200	1399
2520000	1400
2521800	1401
2523600	1402
2525400	1403
2527200	1404
2529000	1405
2530800	1406
2532600	1407
2534400	1408
2536200	1409
2538000	1410
2539800	1411
2541600	1412
2543400	1413
2545200	1414
2547000	1415
2548800	1416
2550600	1417
2552400	1418
2554200	1419
2556000	1420
2557800	1421
2559600	1422
2561400	1423
2563200	1424
2565000	1425
2566800	1426
2568600	1427
2570400	1428
2572200	1429
2574000	1430
2575800	1431
2577600	1432
2579400	1433
2581200	1434
2583000	1435
2584800	1436
2586600	1437
2588400	1438
2590200	1439
2592000	1440
2593800	1441
2595600	1442
2597400	1443
2599200	1444
2601000	1445
2602800	1446
2604600	1447
2606400	1448
2608200	1449
2610000	1450
2611800	1451
2613600	1452
2615400	1453
2617200	1454
2619000	1455
2620800	1456
2622600	1457
2624400	1458
2626200	1459
2628000	1460
2629800	1461
2631600	1462
2633400	1463
2635200	1464
2637000	1465
2638800	1466
2640600	1467
2642400	1468
2644200	1469
2646000	1470
2647800	1471
2649600	1472
2651400	1473
2653200	1474
2655000	1475
2656800	1476
2658600	1477
2660400	1478
2662200	1479
2664000	1480
2665800	1481
2667600	1482
2669400	1483
2671200	1484
2673000	1485
2674800	1486
2676600	1487
2678400	1488
2680200	1489
2682000	1490
2683800	1491
2685600	1492
2687400	1493
2689200	1494
2691000	1495
2692800	1496
2694600	1497
2696400	1498
2698200	1499
2700000	1500
2701800	1501
2703600	1502
2705400	1503
2707200	1504
2709000	1505
2710800	1506
2712600	1507
2714400	1508
2716200	1509
2718000	1510
2719800	1511
2721600	1512
2723400	1513
2725200	1514
2727000	1515
2728800	1516
2730600	1517
2732400	1518
2734200	1519
2736000	1520
2737800	1521
2739600	1522
2741400	1523
2743200	1524
2745000	1525
2746800	1526
2748600	1527
2750400	1528
2752200	1529
2754000	1530
2755800	1531
2757600	1532
2759400	1533
2761200	1534
2763000	1535
2764800	1536
2766600	1537
2768400	1538
2770200	1539
2772000	1540
2773800	1541
2775600	1542
2777400	1543
2779200	1544
2781000	1545
2782800	1546
2784600	1547
2786400	1548
2788200	1549
2790000	1550
2791800	1551
2793600	1552
2795400	1553
2797200	1554
2799000	1555
2800800	1556
2802600	1557
2804400	1558
2806200	1559
2808000	1560
2809800	1561
2811600	1562
2813400	1563
2815200	1564
2817000	1565
2818800	1566
2820600	1567
2822400	1568
2824200	1569
2826000	1570
2827800	1571
2829600	1572
2831400	1573
2833200	1574
2835000	1575
2836800	1576
2838600	1577
2840400	1578
2842200	1579
2844000	1580
2845800	1581
2847600	1582
2849400	1583
2851200	1584
2853000	1585
2854800	1586
2856600	1587
2858400	1588
2860200	1589
2862000	1590
2863800	1591
2865600	1592
2867400	1593
2869200	1594
2871000	1595
2872800	1596
2874600	1597
2876400	1598
2878200	1599
2880000	1600
2881800	1601
2883600	1602
2885400	1603
2887200	1604
2889000	1605
2890800	1606
2892600	1607
2894400	1608
2896200	1609
2898000	1610
2899800	1611
2901600	1612
2903400	1613
2905200	1614
2907000	1615
2908800	1616
2910600	1617
2912400	1618
2914200	1619
2916000	1620
2917800	1621
2919600	1622
2921400	1623
2923200	1624
2925000	1625
2926800	1626
2928600	1627
2930400	1628
2932200	1629
2934000	1630
2935800	1631
2937600	1632
2939400	1633
2941200	1634
2943000	1635
2944800	1636
2946600	1637
2948400	1638
2950200	1639
2952000	1640
2953800	1641
2955600	1642
2957400	1643
2959200	1644
2961000	1645
2962800	1646
2964600	1647
2966400	1648
2968200	1649
2970000	1650
2971800	1651
2973600	1652
2975400	1653
2977200	1654
2979000	1655
2980800	1656
2982600	1657
2984400	1658
2986200	1659
2988000	1660
2989800	1661
2991600	1662
2993400	1663
2995200	1664
2997000	1665
2998800	1666
3000600	1667
3002400	1668
3004200	1669
3006000	1670
3007800	1671
3009600	1672
3011400	1673
3013200	1674
3015000	1675
3016800	1676
3018600	1677
3020400	1678
3022200	1679
3024000	1680
3025800	1681
3027600	1682
3029400	1683
3031200	1684
3033000	1685
3034800	1686
3036600	1687
3038400	1688
3040200	1689
3042000	1690
3043800	1691
3045600	1692
3047400	1693
3049200	1694
3051000	1695
3052800	1696
3054600	1697
3056400	1698
3058200	1699
3060000	1700
3061800	1701
3063600	1702
3065400	1703
3067200	1704
3069000	1705
3070800	1706
3072600	1707
3074400	1708
3076200	1709
3078000	1710
3079800	1711
3081600	1712
3083400	1713
3085200	1714
3087000	1715
3088800	1716
3090600	1717
3092400	1718
3094200	1719
3096000	1720
3097800	1721
3099600	1722
3101400	1723
3103200	1724
3105000	1725
3106800	1726
3108600	1727
3110400	1728
3112200	1729
3114000	1730
3115800	1731
3117600	1732
3119400	1733
3121200	1734
3123000	1735
3124800	1736
3126600	1737
3128400	1738
3130200	1739
3132000	1740
3133800	1741
3135600	1742
3137400	1743
3139200	1744
3141000	1745
3142800	1746
3144600	1747
3146400	1748
3148200	1749
3150000	1750
3151800	1751
3153600	1752
3155400	1753
3157200	1754
3159000	1755
3160800	1756
3162600	1757
3164400	1758
3166200	1759
3168000	1760
3169800	1761
3171600	1762
3173400	1763
3175200	1764
3177000	1765
3178800	1766
3180600	1767
3182400	1768
3184200	1769
3186000	1770
3187800	1771
3189600	1772
3191400	1773
3193200	1774
3195000	1775
3196800	1776
3198600	1777
3200400	1778
3202200	1779
3204000	1780
3205800	1781
3207600	1782
3209400	1783
3211200	1784
3213000	1785
3214800	1786
3216600	1787
3218400	1788
3220200	1789
3222000	1790
3223800	1791
3225600	1792
3227400	1793
3229200	1794
3231000	1795
3232800	1796
3234600	1797
3236400	1798
3238200	1799
3240000	1800
3241800	1801
3243600	1802
3245400	1803
3247200	1804
3249000	1805
3250800	1806
3252600	1807
3254400	1808
3256200	1809
3258000	1810
3259800	1811
3261600	1812
3263400	1813
3265200	1814
3267000	1815
3268800	1816
3270600	1817
3272400	1818
3274200	1819
3276000	1820
3277800	1821
3279600	1822
3281400	1823
3283200	1824
3285000	1825
3286800	1826
3288600	1827
3290400	1828
3292200	1829
3294000	1830
3295800	1831
3297600	1832
3299400	1833
3301200	1834
3303000	1835
3304800	1836
3306600	1837
3308400	1838
3310200	1839
3312000	1840
3313800	1841
3315600	1842
3317400	1843
3319200	1844
3321000	1845
3322800	1846
3324600	1847
3326400	1848
3328200	1849
3330000	1850
3331800	1851
3333600	1852
3335400	1853
3337200	1854
3339000	1855
3340800	1856
3342600	1857
3344400	1858
3346200	1859
3348000	1860
3349800	1861
3351600	1862
3353400	1863
3355200	1864
3357000	1865
3358800	1866
3360600	1867
3362400	1868
3364200	1869
3366000	1870
3367800	1871
3369600	1872
3371400	1873
3373200	1874
3375000	1875
3376800	1876
3378600	1877
3380400	1878
3382200	1879
3384000	1880
3385800	1881
3387600	1882
3389400	1883
3391200	1884
3393000	1885
3394800	1886
3396600	1887
3398400	1888
3400200	1889
3402000	1890
3403800	1891
3405600	1892
3407400	1893
3409200	1894
3411000	1895
3412800	1896
3414600	1897
3416400	1898
3418200	1899
3420000	1900
3421800	1901
3423600	1902
3425400	1903
3427200	1904
3429000	1905
3430800	1906
3432600	1907
3434400	1908
3436200	1909
3438000	1910
3439800	1911
3441600	1912
3443400	1913
3445200	1914
3447000	1915
3448800	1916
3450600	1917
3452400	1918
3454200	1919
3456000	1920
3457800	1921
3459600	1922
3461400	1923
3463200	1924
3465000	1925
3466800	1926
3468600	1927
3470400	1928
3472200	1929
3474000	1930
3475800	1931
3477600	1932
3479400	1933
3481200	1934
3483000	1935
3484800	1936
3486600	1937
3488400	1938
3490200	1939
3492000	1940
3493800	1941
3495600	1942
3497400	1943
3499200	1944
3501000	1945
3502800	1946
3504600	1947
3506400	1948
3508200	1949
3510000	1950
3511800	1951
3513600	1952
3515400	1953
3517200	1954
3519000	1955
3520800	1956
3522600	1957
3524400	1958
3526200	1959
3528000	1960
3529800	1961
3531600	1962
3533400	1963
3535200	1964
3537000	1965
3538800	1966
3540600	1967
3542400	1968
3544200	1969
3546000	1970
3547800	1971
3549600	1972
3551400	1973
3553200	1974
3555000	1975
3556800	1976
3558600	1977
3560400	1978
3562200	1979
3564000	1980
3565800	1981
3567600	1982
3569400	1983
3571200	1984
3573000	1985
3574800	1986
3576600	1987
3578400	1988
3580200	1989
3582000	1990
3583800	1991
3585600	1992
3587400	1993
3589200	1994
3591000	1995
3592800	1996
3594600	1997
3596400	1998
3598200	1999
3600000	2000
3601800	2001
3603600	2002
3605400	2003
3607200	2004
3609000	2005
3610800	2006
3612600	2007
3614400	2008
3616200	2009
3618000	2010
3619800	2011
3621600	2012
3623400	2013
3625200	2014
3627000	2015
3628800	2016
3630600	2017
3632400	2018
3634200	2019
3636000	2020
3637800	2021
3639600	2022
3641400	2023
3643200	2024
3645000	2025
3646800	2026
3648600	2027
3650400	2028
3652200	2029
3654000	2030
3655800	2031
3657600	2032
3659400	2033
3661200	2034
3663000	2035
3664800	2036
3666600	2037
3668400	2038
3670200	2039
3672000	2040
3673800	2041
3675600	2042
3677400	2043
3679200	2044
3681000	2045
3682800	2046
3684600	2047
3686400	2048
3688200	2049
3690000	2050
3691800	2051
3693600	2052
3695400	2053
3697200	2054
3699000	2055
3700800	2056
3702600	2057
3704400	2058
3706200	2059
3708000	2060
3709800	2061
3711600	2062
3713400	2063
3715200	2064
3717000	2065
3718800	2066
3720600	2067
3722400	2068
3724200	2069
3726000	2070
3727800	2071
3729600	2072
3731400	2073
3733200	2074
3735000	2075
3736800	2076
3738600	2077
3740400	2078
3742200	2079
3744000	2080
3745800	2081
3747600	2082
3749400	2083
3751200	2084
3753000	2085
3754800	2086
3756600	2087
3758400	2088
3760200	2089
3762000	2090
3763800	2091
3765600	2092
3767400	2093
3769200	2094
3771000	2095
3772800	2096
3774600	2097
3776400	2098
3778200	2099
3780000	2100
3781800	2101
3783600	2102
3785400	2103
3787200	2104
3789000	2105
3790800	2106
